event_id,customer_id,event_type,event_timestamp,channel,category,device
EVT000056,CUST00122,checkout_start,2025-03-27T23:44:00,referral,electronics,tablet
EVT000057,CUST00359,add_to_cart,2025-05-26T18:36:00,referral,fashion,desktop
EVT000058,CUST00278,page_view,2025-04-26T05:31:00,organic,electronics,mobile
EVT000059,CUST00309,purchase,2024-06-07T00:33:00,organic,home,tablet
EVT000060,CUST00104,add_to_cart,2024-07-02T10:45:00,email,electronics,mobile
EVT000061,CUST00076,add_to_cart,2026-01-10T22:58:00,organic,sport,desktop
EVT000062,CUST00492,purchase,2024-05-12T11:45:00,referral,electronics,desktop
EVT000063,CUST00155,purchase,2024-11-13T04:10:00,social,home,mobile
EVT000064,CUST00363,signup,2025-08-12T22:56:00,email,fashion,tablet
EVT000065,CUST00302,checkout_start,2024-08-08T12:19:00,paid_search,fashion,tablet
EVT000066,CUST00001,signup,2025-06-05T12:54:00,organic,fashion,tablet
EVT000067,CUST00163,page_view,2024-05-29T20:36:00,social,fashion,desktop
EVT000068,CUST00382,checkout_start,2024-03-29T07:22:00,paid_search,electronics,tablet
EVT000069,CUST00344,checkout_start,2024-09-08T14:00:00,paid_search,fashion,tablet
EVT000070,CUST00035,page_view,2024-08-22T08:50:00,organic,electronics,desktop
EVT000071,CUST00225,purchase,2024-12-02T05:56:00,social,beauty,desktop
EVT000072,CUST00280,purchase,2025-06-15T03:53:00,referral,fashion,mobile
EVT000073,CUST00232,page_view,2025-01-13T01:18:00,email,home,mobile
EVT000074,CUST00038,purchase,2024-10-02T05:56:00,paid_search,electronics,tablet
EVT000075,CUST00483,signup,2024-07-15T10:38:00,social,electronics,desktop
EVT000076,CUST00483,purchase,2024-08-21T19:56:00,paid_search,electronics,mobile
EVT000077,CUST00170,signup,2024-09-23T06:26:00,referral,home,tablet
EVT000078,CUST00145,page_view,2025-07-19T07:06:00,social,sport,tablet
EVT000079,CUST00431,checkout_start,2025-11-05T04:03:00,organic,beauty,mobile
EVT000080,CUST00151,page_view,2025-06-08T06:06:00,paid_search,fashion,tablet
EVT000081,CUST00150,page_view,2024-06-10T15:54:00,email,beauty,desktop
EVT000082,CUST00251,signup,2025-01-01T02:41:00,social,fashion,desktop
EVT000083,CUST00454,purchase,2025-11-13T11:11:00,organic,home,desktop
EVT000084,CUST00239,checkout_start,2024-06-21T07:53:00,referral,electronics,mobile
EVT000085,CUST00386,checkout_start,2024-12-22T02:42:00,referral,beauty,tablet
EVT000086,CUST00117,purchase,2024-10-27T01:53:00,referral,beauty,tablet
EVT000087,CUST00352,add_to_cart,2025-10-11T18:56:00,social,home,mobile
EVT000088,CUST00203,signup,2024-12-15T16:36:00,referral,sport,mobile
EVT000089,CUST00062,add_to_cart,2024-09-11T05:10:00,paid_search,fashion,mobile
EVT000090,CUST00217,add_to_cart,2025-03-01T21:27:00,paid_search,sport,desktop
EVT000091,CUST00164,signup,2025-04-23T02:24:00,social,sport,desktop
EVT000092,CUST00439,page_view,2024-11-18T16:29:00,referral,sport,tablet
EVT000093,CUST00401,add_to_cart,2025-05-31T03:26:00,paid_search,sport,tablet
EVT000094,CUST00299,page_view,2024-07-02T03:36:00,email,sport,desktop
EVT000095,CUST00450,purchase,2025-03-12T08:24:00,referral,sport,desktop
EVT000096,CUST00020,add_to_cart,2024-04-09T08:25:00,referral,sport,tablet
EVT000097,CUST00356,checkout_start,2025-01-30T01:25:00,paid_search,electronics,tablet
EVT000098,CUST00244,checkout_start,2024-10-26T11:01:00,email,home,desktop
EVT000099,CUST00432,page_view,2026-02-23T22:43:00,paid_search,fashion,desktop
EVT000100,CUST00499,purchase,2024-08-22T10:17:00,referral,electronics,mobile
EVT000101,CUST00227,purchase,2025-07-08T13:47:00,referral,home,mobile
EVT000102,CUST00264,signup,2024-07-01T02:19:00,social,fashion,tablet
EVT000103,CUST00451,add_to_cart,2025-03-21T00:11:00,paid_search,electronics,mobile
EVT000104,CUST00017,checkout_start,2025-10-03T01:58:00,paid_search,home,desktop
EVT000105,CUST00422,page_view,2024-12-03T16:25:00,organic,fashion,desktop
EVT000106,CUST00251,purchase,2025-04-04T05:55:00,referral,sport,desktop
EVT000107,CUST00177,page_view,2025-04-01T08:47:00,email,electronics,desktop
EVT000108,CUST00026,add_to_cart,2024-06-02T18:49:00,paid_search,fashion,tablet
EVT000109,CUST00106,signup,2024-08-02T20:26:00,organic,electronics,desktop
EVT000110,CUST00467,signup,2024-07-27T20:11:00,organic,fashion,desktop
EVT000111,CUST00312,checkout_start,2024-08-05T22:45:00,social,beauty,desktop
EVT000112,CUST00236,checkout_start,2025-08-11T06:29:00,referral,sport,desktop
EVT000113,CUST00300,checkout_start,2025-06-26T00:32:00,referral,sport,tablet
EVT000114,CUST00145,purchase,2025-07-19T21:06:00,organic,home,desktop
EVT000115,CUST00328,checkout_start,2025-11-28T08:16:00,paid_search,fashion,tablet
EVT000116,CUST00392,signup,2025-05-17T01:51:00,social,home,tablet
EVT000117,CUST00072,checkout_start,2024-05-20T20:31:00,email,beauty,desktop
EVT000118,CUST00199,signup,2024-05-09T18:45:00,paid_search,home,tablet
EVT000119,CUST00366,purchase,2025-10-13T21:34:00,email,sport,desktop
EVT000120,CUST00433,signup,2025-01-30T21:56:00,paid_search,home,mobile
EVT000121,CUST00242,signup,2025-06-10T23:16:00,paid_search,home,tablet
EVT000122,CUST00046,checkout_start,2024-12-31T11:14:00,social,home,desktop
EVT000123,CUST00134,page_view,2025-01-06T09:29:00,social,electronics,tablet
EVT000124,CUST00299,purchase,2025-03-05T19:04:00,paid_search,sport,mobile
EVT000125,CUST00445,purchase,2025-11-16T16:19:00,organic,fashion,mobile
EVT000126,CUST00103,purchase,2025-10-13T13:36:00,paid_search,home,tablet
EVT000127,CUST00093,add_to_cart,2025-06-13T15:21:00,email,electronics,mobile
EVT000128,CUST00232,add_to_cart,2025-04-26T06:48:00,referral,fashion,desktop
EVT000129,CUST00403,purchase,2025-05-31T04:39:00,social,beauty,desktop
EVT000130,CUST00495,page_view,2025-04-20T12:00:00,referral,fashion,tablet
EVT000131,CUST00192,signup,2024-01-29T10:48:00,paid_search,electronics,tablet
EVT000132,CUST00003,checkout_start,2024-06-03T07:44:00,email,fashion,mobile
EVT000133,CUST00197,add_to_cart,2024-09-30T18:19:00,organic,electronics,desktop
EVT000134,CUST00486,signup,2025-04-28T14:46:00,referral,sport,desktop
EVT000135,CUST00223,purchase,2024-04-24T10:57:00,email,fashion,mobile
EVT000136,CUST00486,add_to_cart,2025-06-25T00:14:00,paid_search,fashion,tablet
EVT000137,CUST00012,checkout_start,2025-06-18T05:07:00,organic,beauty,tablet
EVT000138,CUST00131,signup,2025-04-30T19:03:00,organic,electronics,tablet
EVT000139,CUST00429,page_view,2025-06-18T01:44:00,social,beauty,desktop
EVT000140,CUST00064,add_to_cart,2025-05-22T08:30:00,paid_search,electronics,desktop
EVT000141,CUST00216,checkout_start,2025-04-06T21:33:00,referral,sport,tablet
EVT000142,CUST00071,signup,2025-02-19T03:32:00,organic,home,mobile
EVT000143,CUST00402,signup,2024-11-01T15:12:00,paid_search,home,tablet
EVT000144,CUST00499,purchase,2024-04-21T11:45:00,email,fashion,mobile
EVT000145,CUST00281,purchase,2025-10-11T06:44:00,email,fashion,mobile
EVT000146,CUST00007,signup,2025-05-30T03:53:00,social,fashion,mobile
EVT000147,CUST00400,page_view,2025-02-14T02:46:00,email,fashion,desktop
EVT000148,CUST00152,page_view,2024-10-10T14:03:00,paid_search,electronics,desktop
EVT000149,CUST00185,page_view,2025-08-01T13:47:00,organic,electronics,mobile
EVT000150,CUST00437,add_to_cart,2025-04-04T21:41:00,email,home,desktop
EVT000151,CUST00490,checkout_start,2024-06-02T23:05:00,email,fashion,mobile
EVT000152,CUST00206,purchase,2025-09-04T14:17:00,social,beauty,tablet
EVT000153,CUST00454,page_view,2025-07-26T03:08:00,paid_search,electronics,desktop
EVT000154,CUST00467,purchase,2025-01-23T18:43:00,paid_search,sport,desktop
EVT000155,CUST00399,add_to_cart,2025-01-26T19:01:00,social,beauty,mobile
EVT000156,CUST00455,page_view,2024-09-12T14:02:00,email,home,mobile
EVT000157,CUST00361,signup,2024-10-06T23:36:00,paid_search,home,tablet
EVT000158,CUST00268,add_to_cart,2024-04-06T13:42:00,social,home,tablet
EVT000159,CUST00347,signup,2025-03-04T04:53:00,referral,electronics,mobile
EVT000160,CUST00330,purchase,2025-08-22T16:54:00,social,fashion,mobile
EVT000161,CUST00385,checkout_start,2025-08-02T10:15:00,email,electronics,tablet
EVT000162,CUST00115,purchase,2025-07-17T20:24:00,paid_search,electronics,desktop
EVT000163,CUST00228,purchase,2025-12-08T14:05:00,social,home,mobile
EVT000164,CUST00255,purchase,2025-04-08T03:25:00,organic,sport,tablet
EVT000165,CUST00001,checkout_start,2024-10-01T19:39:00,referral,sport,mobile
EVT000166,CUST00336,page_view,2025-03-17T10:23:00,paid_search,beauty,desktop
EVT000167,CUST00287,checkout_start,2024-09-30T22:42:00,social,electronics,mobile
EVT000168,CUST00389,checkout_start,2025-08-20T00:21:00,email,sport,tablet
EVT000169,CUST00192,add_to_cart,2024-03-16T01:57:00,social,fashion,tablet
EVT000170,CUST00381,signup,2025-02-24T03:16:00,paid_search,fashion,mobile
EVT000171,CUST00477,add_to_cart,2025-04-15T06:29:00,email,electronics,desktop
EVT000172,CUST00024,signup,2025-01-29T14:29:00,referral,fashion,desktop
EVT000173,CUST00003,signup,2024-10-25T23:03:00,social,sport,desktop
EVT000174,CUST00474,signup,2026-02-22T05:44:00,paid_search,fashion,mobile
EVT000175,CUST00199,purchase,2024-10-02T16:56:00,social,sport,tablet
EVT000176,CUST00391,checkout_start,2025-06-08T08:25:00,email,beauty,mobile
EVT000177,CUST00071,signup,2025-02-16T19:44:00,email,sport,desktop
EVT000178,CUST00365,add_to_cart,2026-02-04T20:13:00,paid_search,sport,tablet
EVT000179,CUST00149,add_to_cart,2024-07-09T21:08:00,referral,sport,tablet
EVT000180,CUST00327,checkout_start,2025-11-08T22:07:00,referral,beauty,tablet
EVT000181,CUST00293,signup,2025-10-31T21:47:00,email,beauty,mobile
EVT000182,CUST00268,add_to_cart,2024-04-12T00:24:00,organic,electronics,mobile
EVT000183,CUST00137,checkout_start,2025-06-15T09:43:00,paid_search,electronics,tablet
EVT000184,CUST00402,signup,2025-02-06T06:48:00,organic,home,desktop
EVT000185,CUST00053,signup,2025-07-11T07:47:00,social,fashion,tablet
EVT000186,CUST00402,page_view,2025-02-02T22:42:00,social,beauty,desktop
EVT000187,CUST00490,page_view,2024-06-25T17:03:00,email,fashion,tablet
EVT000188,CUST00445,checkout_start,2025-12-17T07:58:00,referral,sport,tablet
EVT000189,CUST00309,checkout_start,2024-05-26T23:12:00,social,fashion,tablet
EVT000190,CUST00039,signup,2024-09-22T05:47:00,organic,beauty,mobile
EVT000191,CUST00220,add_to_cart,2025-08-18T17:16:00,paid_search,sport,desktop
EVT000192,CUST00003,add_to_cart,2024-07-15T14:45:00,organic,fashion,desktop
EVT000193,CUST00306,checkout_start,2024-06-03T20:39:00,social,sport,tablet
EVT000194,CUST00184,signup,2025-01-07T22:20:00,paid_search,fashion,tablet
EVT000195,CUST00035,signup,2024-11-09T05:26:00,referral,beauty,mobile
EVT000196,CUST00179,checkout_start,2025-01-27T06:42:00,email,home,desktop
EVT000197,CUST00112,page_view,2024-12-25T15:35:00,organic,home,desktop
EVT000198,CUST00124,checkout_start,2024-06-28T01:43:00,social,electronics,desktop
EVT000199,CUST00132,page_view,2025-03-29T23:18:00,referral,home,tablet
EVT000200,CUST00412,page_view,2024-12-06T14:31:00,email,fashion,desktop
EVT000201,CUST00264,signup,2024-05-23T03:10:00,referral,electronics,tablet
EVT000202,CUST00034,add_to_cart,2024-07-25T21:40:00,social,electronics,mobile
EVT000203,CUST00276,page_view,2025-11-28T20:52:00,paid_search,electronics,desktop
EVT000204,CUST00368,page_view,2024-11-18T01:05:00,organic,fashion,desktop
EVT000205,CUST00286,add_to_cart,2024-04-04T18:52:00,email,beauty,desktop
EVT000206,CUST00231,page_view,2025-09-09T13:20:00,social,electronics,tablet
EVT000207,CUST00004,page_view,2024-11-12T23:37:00,organic,home,tablet
EVT000208,CUST00055,signup,2025-10-10T21:19:00,organic,home,desktop
EVT000209,CUST00196,purchase,2024-08-16T21:01:00,paid_search,sport,mobile
EVT000210,CUST00070,add_to_cart,2025-01-29T17:18:00,email,home,mobile
EVT000211,CUST00284,page_view,2025-08-09T04:07:00,organic,sport,tablet
EVT000212,CUST00202,checkout_start,2025-08-27T17:05:00,paid_search,home,mobile
EVT000213,CUST00212,add_to_cart,2026-01-25T04:10:00,paid_search,sport,desktop
EVT000214,CUST00100,signup,2024-03-18T05:42:00,organic,sport,desktop
EVT000215,CUST00331,page_view,2026-02-06T02:18:00,email,electronics,mobile
EVT000216,CUST00372,checkout_start,2024-10-27T15:21:00,paid_search,fashion,mobile
EVT000217,CUST00146,purchase,2024-03-31T06:20:00,social,home,tablet
EVT000218,CUST00338,add_to_cart,2025-04-22T22:37:00,referral,sport,desktop
EVT000219,CUST00414,page_view,2025-07-03T13:10:00,email,fashion,mobile
EVT000220,CUST00365,checkout_start,2025-12-06T08:53:00,paid_search,home,desktop
EVT000221,CUST00237,checkout_start,2025-01-17T11:49:00,social,sport,mobile
EVT000222,CUST00090,add_to_cart,2025-03-09T08:54:00,referral,fashion,desktop
EVT000223,CUST00376,page_view,2024-06-24T23:04:00,referral,electronics,tablet
EVT000224,CUST00297,page_view,2025-03-12T18:13:00,referral,home,tablet
EVT000225,CUST00458,add_to_cart,2025-04-09T15:41:00,email,beauty,mobile
EVT000226,CUST00457,signup,2024-11-07T04:29:00,referral,electronics,desktop
EVT000227,CUST00187,add_to_cart,2025-09-28T00:42:00,referral,fashion,tablet
EVT000228,CUST00072,signup,2024-12-21T05:11:00,referral,fashion,tablet
EVT000229,CUST00375,add_to_cart,2025-09-30T11:02:00,social,fashion,mobile
EVT000230,CUST00136,add_to_cart,2024-09-07T07:02:00,referral,home,desktop
EVT000231,CUST00241,checkout_start,2025-02-28T01:02:00,organic,sport,tablet
EVT000232,CUST00425,signup,2025-06-13T23:16:00,referral,sport,mobile
EVT000233,CUST00193,page_view,2025-02-07T11:37:00,referral,home,desktop
EVT000234,CUST00499,checkout_start,2024-05-02T16:25:00,email,beauty,desktop
EVT000235,CUST00455,add_to_cart,2024-02-18T16:56:00,social,fashion,mobile
EVT000236,CUST00040,add_to_cart,2025-03-07T20:17:00,paid_search,fashion,mobile
EVT000237,CUST00186,purchase,2024-06-27T21:14:00,email,electronics,desktop
EVT000238,CUST00346,signup,2024-12-22T15:13:00,paid_search,beauty,mobile
EVT000239,CUST00125,signup,2024-11-09T04:36:00,paid_search,fashion,tablet
EVT000240,CUST00263,page_view,2025-02-19T18:09:00,paid_search,home,mobile
EVT000241,CUST00265,page_view,2025-05-15T19:36:00,email,electronics,mobile
EVT000242,CUST00230,add_to_cart,2024-11-27T15:10:00,social,sport,mobile
EVT000243,CUST00407,signup,2026-02-03T05:39:00,email,fashion,tablet
EVT000244,CUST00352,signup,2025-08-04T14:38:00,organic,fashion,desktop
EVT000245,CUST00198,add_to_cart,2024-07-02T03:01:00,referral,sport,tablet
EVT000246,CUST00215,add_to_cart,2025-01-27T19:06:00,social,sport,tablet
EVT000247,CUST00020,page_view,2024-10-10T16:48:00,organic,beauty,tablet
EVT000248,CUST00067,purchase,2025-09-07T00:57:00,referral,beauty,desktop
EVT000249,CUST00448,purchase,2025-03-07T22:33:00,paid_search,beauty,desktop
EVT000250,CUST00180,add_to_cart,2025-02-15T03:27:00,email,beauty,mobile
EVT000251,CUST00466,signup,2025-02-28T09:38:00,social,home,mobile
EVT000252,CUST00003,page_view,2024-01-31T18:33:00,referral,electronics,desktop
EVT000253,CUST00336,checkout_start,2024-11-09T22:51:00,social,home,mobile
EVT000254,CUST00080,checkout_start,2025-04-13T20:37:00,email,sport,desktop
EVT000255,CUST00290,purchase,2024-09-22T19:17:00,paid_search,beauty,tablet
EVT000256,CUST00402,checkout_start,2025-06-20T15:11:00,referral,sport,desktop
EVT000257,CUST00130,purchase,2025-08-19T18:22:00,paid_search,electronics,tablet
EVT000258,CUST00118,page_view,2025-08-28T22:10:00,paid_search,sport,desktop
EVT000259,CUST00403,page_view,2025-10-06T17:39:00,paid_search,beauty,tablet
EVT000260,CUST00003,signup,2024-03-14T04:30:00,social,electronics,mobile
EVT000261,CUST00135,signup,2024-08-18T11:05:00,organic,beauty,desktop
EVT000262,CUST00315,signup,2025-05-28T09:45:00,organic,fashion,tablet
EVT000263,CUST00254,signup,2025-01-28T00:12:00,email,fashion,mobile
EVT000264,CUST00402,add_to_cart,2025-05-27T16:44:00,referral,fashion,tablet
EVT000265,CUST00019,page_view,2024-09-06T07:41:00,paid_search,electronics,desktop
EVT000266,CUST00400,purchase,2024-12-19T11:42:00,social,sport,mobile
EVT000267,CUST00266,page_view,2024-01-13T23:45:00,organic,sport,desktop
EVT000268,CUST00372,checkout_start,2024-10-16T18:22:00,email,fashion,tablet
EVT000269,CUST00494,purchase,2024-07-15T14:59:00,referral,electronics,desktop
EVT000270,CUST00090,signup,2025-08-23T16:06:00,organic,sport,desktop
EVT000271,CUST00175,signup,2025-02-23T16:16:00,referral,home,tablet
EVT000272,CUST00227,add_to_cart,2025-10-01T18:30:00,email,beauty,tablet
EVT000273,CUST00236,page_view,2026-01-29T00:30:00,email,electronics,desktop
EVT000274,CUST00325,add_to_cart,2024-08-21T21:44:00,email,beauty,desktop
EVT000275,CUST00265,checkout_start,2025-07-21T00:44:00,paid_search,home,mobile
EVT000276,CUST00205,add_to_cart,2025-09-07T02:35:00,social,home,desktop
EVT000277,CUST00112,add_to_cart,2025-01-16T08:11:00,social,fashion,mobile
EVT000278,CUST00377,add_to_cart,2025-06-09T08:13:00,paid_search,fashion,tablet
EVT000279,CUST00183,page_view,2024-07-08T03:07:00,social,sport,mobile
EVT000280,CUST00392,purchase,2025-10-18T01:54:00,email,sport,desktop
EVT000281,CUST00253,add_to_cart,2025-03-04T08:31:00,referral,home,desktop
EVT000282,CUST00114,signup,2025-05-27T04:03:00,social,beauty,tablet
EVT000283,CUST00017,add_to_cart,2025-10-27T11:25:00,social,electronics,tablet
EVT000284,CUST00266,page_view,2024-08-28T10:44:00,organic,fashion,desktop
EVT000285,CUST00298,signup,2024-03-18T10:23:00,email,fashion,tablet
EVT000286,CUST00135,signup,2024-08-26T08:30:00,email,home,mobile
EVT000287,CUST00256,checkout_start,2025-06-17T06:26:00,email,beauty,desktop
EVT000288,CUST00231,signup,2025-05-17T18:08:00,paid_search,electronics,tablet
EVT000289,CUST00139,purchase,2025-01-11T17:27:00,paid_search,fashion,tablet
EVT000290,CUST00077,purchase,2025-11-25T00:11:00,social,fashion,tablet
EVT000291,CUST00265,purchase,2025-07-20T23:20:00,email,home,tablet
EVT000292,CUST00440,page_view,2025-06-22T01:25:00,paid_search,electronics,mobile
EVT000293,CUST00417,page_view,2025-02-11T15:53:00,social,home,desktop
EVT000294,CUST00185,checkout_start,2025-08-25T17:35:00,email,electronics,desktop
EVT000295,CUST00063,add_to_cart,2024-12-08T21:38:00,referral,sport,tablet
EVT000296,CUST00333,checkout_start,2025-05-23T05:49:00,email,home,tablet
EVT000297,CUST00262,page_view,2024-10-03T23:28:00,social,sport,desktop
EVT000298,CUST00238,checkout_start,2024-05-11T05:40:00,social,sport,tablet
EVT000299,CUST00208,checkout_start,2024-05-03T02:10:00,paid_search,home,desktop
EVT000300,CUST00335,signup,2024-12-10T22:17:00,social,home,desktop
EVT000301,CUST00400,signup,2024-11-30T23:37:00,social,beauty,mobile
EVT000302,CUST00095,add_to_cart,2025-02-13T04:46:00,email,electronics,mobile
EVT000303,CUST00086,page_view,2025-10-21T03:06:00,social,sport,mobile
EVT000304,CUST00014,page_view,2025-02-23T16:48:00,organic,home,tablet
EVT000305,CUST00080,purchase,2024-10-20T20:59:00,email,fashion,mobile
EVT000306,CUST00378,add_to_cart,2025-09-11T14:40:00,paid_search,sport,mobile
EVT000307,CUST00015,checkout_start,2025-02-26T21:22:00,social,beauty,tablet
EVT000308,CUST00479,add_to_cart,2024-11-04T17:28:00,referral,fashion,tablet
EVT000309,CUST00306,signup,2024-12-27T20:47:00,social,sport,tablet
EVT000310,CUST00328,checkout_start,2026-03-15T09:58:00,social,sport,mobile
EVT000311,CUST00413,checkout_start,2024-10-03T14:19:00,social,home,mobile
EVT000312,CUST00156,add_to_cart,2025-01-26T00:33:00,email,home,desktop
EVT000313,CUST00274,purchase,2025-01-04T22:59:00,social,home,mobile
EVT000314,CUST00393,add_to_cart,2024-09-17T09:38:00,organic,sport,desktop
EVT000315,CUST00097,purchase,2025-10-10T17:27:00,paid_search,fashion,tablet
EVT000316,CUST00378,checkout_start,2025-11-04T12:14:00,organic,beauty,tablet
EVT000317,CUST00123,checkout_start,2025-03-23T19:51:00,email,sport,desktop
EVT000318,CUST00212,add_to_cart,2025-08-12T02:11:00,email,electronics,tablet
EVT000319,CUST00234,signup,2024-12-02T08:44:00,social,fashion,desktop
EVT000320,CUST00010,page_view,2025-03-26T01:34:00,paid_search,electronics,desktop
EVT000321,CUST00138,page_view,2025-07-23T22:28:00,paid_search,electronics,mobile
EVT000322,CUST00008,purchase,2025-09-14T06:21:00,email,beauty,desktop
EVT000323,CUST00238,add_to_cart,2024-03-14T10:05:00,organic,home,desktop
EVT000324,CUST00037,add_to_cart,2025-12-11T15:11:00,email,beauty,mobile
EVT000325,CUST00063,purchase,2024-10-17T12:49:00,paid_search,electronics,mobile
EVT000326,CUST00236,add_to_cart,2025-05-22T16:42:00,social,beauty,tablet
EVT000327,CUST00493,page_view,2024-07-31T10:10:00,referral,sport,mobile
EVT000328,CUST00130,add_to_cart,2025-11-16T20:19:00,email,electronics,tablet
EVT000329,CUST00112,purchase,2024-05-25T07:40:00,email,electronics,mobile
EVT000330,CUST00407,purchase,2025-08-30T18:07:00,paid_search,electronics,mobile
EVT000331,CUST00298,add_to_cart,2024-09-26T22:38:00,email,electronics,mobile
EVT000332,CUST00081,signup,2025-03-30T02:43:00,email,electronics,mobile
EVT000333,CUST00183,page_view,2024-07-07T22:34:00,paid_search,beauty,mobile
EVT000334,CUST00163,checkout_start,2024-11-17T20:48:00,social,fashion,mobile
EVT000335,CUST00353,add_to_cart,2025-05-13T11:46:00,email,electronics,desktop
EVT000336,CUST00362,signup,2025-12-01T17:18:00,social,fashion,tablet
EVT000337,CUST00096,purchase,2024-11-01T11:20:00,email,sport,tablet
EVT000338,CUST00083,purchase,2024-08-03T16:09:00,email,home,tablet
EVT000339,CUST00188,signup,2025-10-18T00:49:00,social,fashion,mobile
EVT000340,CUST00318,checkout_start,2025-11-27T19:15:00,organic,sport,desktop
EVT000341,CUST00098,signup,2025-10-18T21:31:00,paid_search,sport,desktop
EVT000342,CUST00166,page_view,2025-10-12T20:20:00,organic,sport,tablet
EVT000343,CUST00035,page_view,2024-03-18T04:11:00,paid_search,electronics,desktop
EVT000344,CUST00099,purchase,2024-11-30T01:36:00,social,sport,tablet
EVT000345,CUST00360,add_to_cart,2025-08-11T01:23:00,referral,electronics,mobile
EVT000346,CUST00477,page_view,2025-01-10T20:31:00,social,electronics,desktop
