order_id,customer_id,order_date,status,category,amount_eur,discount_eur
ORD000053,CUST00475,2024-11-10,cancelled,beauty,203.57,20.36
ORD000054,CUST00084,2024-12-30,completed,beauty,176.84,8.84
ORD000055,CUST00050,2025-03-31,completed,sport,43.64,4.36
ORD000056,CUST00496,2024-08-10,cancelled,electronics,300.24,30.02
ORD000057,CUST00253,2024-11-24,completed,beauty,223.05,33.46
ORD000058,CUST00327,2025-06-01,completed,sport,89.5,4.48
ORD000059,CUST00442,2025-11-20,completed,home,335.4,0.0
ORD000060,CUST00094,2025-03-27,completed,electronics,383.75,0.0
ORD000061,CUST00359,2024-12-02,completed,electronics,252.12,25.21
ORD000062,CUST00216,2025-07-10,completed,home,428.89,42.89
ORD000063,CUST00378,2026-02-18,completed,beauty,346.82,34.68
ORD000064,CUST00278,2025-04-23,completed,home,237.37,35.61
ORD000065,CUST00309,2024-05-25,completed,sport,18.35,2.75
ORD000066,CUST00073,2025-02-23,completed,sport,388.66,19.43
ORD000067,CUST00242,2025-04-19,completed,home,105.05,0.0
ORD000068,CUST00497,2025-04-30,completed,home,356.97,0.0
ORD000069,CUST00248,2024-10-10,cancelled,fashion,108.25,10.83
ORD000070,CUST00134,2024-10-13,completed,electronics,22.86,2.29
ORD000071,CUST00114,2024-10-10,completed,home,165.52,8.28
ORD000072,CUST00010,2025-05-20,completed,home,86.18,4.31
ORD000073,CUST00386,2025-03-05,completed,sport,177.45,0.0
ORD000074,CUST00144,2024-07-17,completed,beauty,336.51,50.48
ORD000075,CUST00119,2025-01-23,completed,beauty,263.0,39.45
ORD000076,CUST00217,2025-04-20,completed,beauty,301.09,15.05
ORD000077,CUST00220,2025-03-30,completed,sport,256.61,38.49
ORD000078,CUST00031,2024-11-11,refunded,home,41.47,0.0
ORD000079,CUST00162,2024-12-17,completed,beauty,326.48,48.97
ORD000080,CUST00140,2024-11-28,completed,sport,300.03,0.0
ORD000081,CUST00309,2024-09-02,completed,fashion,277.32,41.6
ORD000082,CUST00387,2026-03-31,completed,fashion,121.91,0.0
ORD000083,CUST00270,2025-01-10,completed,sport,255.95,0.0
ORD000084,CUST00369,2025-12-05,completed,home,359.05,0.0
ORD000085,CUST00263,2025-04-02,refunded,beauty,106.52,15.98
ORD000086,CUST00495,2025-05-21,completed,fashion,449.07,0.0
ORD000087,CUST00381,2024-10-10,completed,sport,31.16,4.67
ORD000088,CUST00427,2025-11-15,completed,fashion,251.39,12.57
ORD000089,CUST00376,2024-11-16,completed,electronics,267.2,26.72
ORD000090,CUST00193,2025-04-19,completed,electronics,412.92,20.65
ORD000091,CUST00342,2025-01-15,cancelled,sport,419.19,0.0
ORD000092,CUST00466,2025-11-28,completed,beauty,40.02,2.0
ORD000093,CUST00079,2025-01-30,completed,sport,289.56,0.0
ORD000094,CUST00046,2024-10-07,completed,beauty,206.56,30.98
ORD000095,CUST00413,2025-05-21,cancelled,fashion,433.39,65.01
ORD000096,CUST00360,2026-02-04,completed,sport,246.76,0.0
ORD000097,CUST00024,2025-05-29,completed,sport,205.46,10.27
ORD000098,CUST00487,2025-12-01,cancelled,home,114.04,0.0
ORD000099,CUST00111,2026-01-13,completed,home,305.86,0.0
ORD000100,CUST00072,2024-11-21,completed,fashion,323.5,0.0
ORD000101,CUST00144,2024-11-17,completed,home,231.67,11.58
ORD000102,CUST00056,2024-11-11,completed,sport,354.27,0.0
ORD000103,CUST00275,2025-07-03,completed,sport,50.26,0.0
ORD000104,CUST00155,2024-06-11,completed,fashion,425.82,21.29
ORD000105,CUST00136,2024-10-27,completed,home,103.69,10.37
ORD000106,CUST00244,2024-08-25,completed,home,302.33,30.23
ORD000107,CUST00018,2024-02-23,completed,home,255.45,38.32
ORD000108,CUST00432,2025-10-11,completed,sport,324.74,0.0
ORD000109,CUST00397,2025-01-28,completed,sport,285.53,28.55
ORD000110,CUST00220,2025-11-06,cancelled,fashion,420.79,42.08
ORD000111,CUST00402,2025-01-23,completed,electronics,396.28,0.0
ORD000112,CUST00477,2025-03-12,completed,home,131.27,0.0
ORD000113,CUST00258,2025-10-29,completed,beauty,164.96,16.5
ORD000114,CUST00192,2024-06-09,completed,fashion,139.89,0.0
ORD000115,CUST00196,2024-06-25,completed,electronics,185.41,27.81
ORD000116,CUST00250,2025-09-18,completed,beauty,264.63,39.69
ORD000117,CUST00234,2024-06-26,completed,home,76.5,3.83
ORD000118,CUST00446,2024-08-18,completed,fashion,51.79,0.0
ORD000119,CUST00122,2024-11-02,completed,beauty,231.1,0.0
ORD000120,CUST00397,2025-07-29,completed,beauty,387.39,19.37
ORD000121,CUST00413,2025-06-28,completed,sport,403.39,20.17
ORD000122,CUST00125,2025-07-20,completed,home,405.25,0.0
ORD000123,CUST00184,2025-04-03,cancelled,electronics,179.14,17.91
ORD000124,CUST00060,2025-04-22,completed,electronics,394.65,0.0
ORD000125,CUST00255,2025-09-21,cancelled,sport,38.78,1.94
ORD000126,CUST00440,2025-07-18,completed,sport,428.65,0.0
ORD000127,CUST00453,2025-05-11,cancelled,fashion,110.28,11.03
ORD000128,CUST00443,2025-05-06,cancelled,beauty,126.42,0.0
ORD000129,CUST00174,2024-05-23,completed,sport,70.32,0.0
ORD000130,CUST00315,2025-02-09,completed,sport,51.51,5.15
ORD000131,CUST00295,2024-10-07,completed,sport,410.82,20.54
ORD000132,CUST00308,2025-03-22,completed,electronics,37.53,3.75
ORD000133,CUST00163,2024-09-15,completed,beauty,270.46,0.0
ORD000134,CUST00007,2025-10-10,completed,sport,308.11,15.41
ORD000135,CUST00190,2025-02-08,completed,beauty,202.65,0.0
ORD000136,CUST00463,2025-04-03,completed,sport,42.71,0.0
ORD000137,CUST00437,2025-09-29,completed,electronics,321.65,32.16
ORD000138,CUST00033,2025-12-17,completed,beauty,441.95,66.29
ORD000139,CUST00296,2025-08-27,completed,home,245.71,0.0
ORD000140,CUST00161,2024-05-23,completed,sport,401.79,40.18
ORD000141,CUST00309,2024-12-09,cancelled,sport,187.49,18.75
ORD000142,CUST00493,2024-06-22,completed,home,294.16,29.42
ORD000143,CUST00029,2025-10-08,completed,home,233.57,0.0
ORD000144,CUST00197,2024-02-12,completed,sport,97.56,0.0
ORD000145,CUST00050,2024-10-21,completed,sport,38.22,5.73
ORD000146,CUST00182,2025-01-31,completed,sport,156.79,15.68
ORD000147,CUST00035,2024-12-01,refunded,sport,133.47,0.0
ORD000148,CUST00448,2025-06-16,completed,home,424.09,21.2
ORD000149,CUST00158,2025-09-17,completed,electronics,350.28,17.51
ORD000150,CUST00352,2025-08-19,completed,beauty,213.95,21.39
ORD000151,CUST00019,2024-08-25,completed,electronics,81.63,0.0
ORD000152,CUST00427,2025-07-13,completed,home,17.95,2.69
ORD000153,CUST00140,2025-08-18,completed,electronics,62.01,0.0
ORD000154,CUST00071,2024-11-10,cancelled,home,37.9,1.9
ORD000155,CUST00441,2025-01-31,completed,electronics,39.05,0.0
ORD000156,CUST00179,2025-08-18,completed,home,237.43,0.0
ORD000157,CUST00357,2025-02-17,completed,fashion,225.84,22.58
ORD000158,CUST00423,2025-10-11,completed,electronics,435.8,43.58
ORD000159,CUST00475,2024-12-16,completed,fashion,130.95,6.55
ORD000160,CUST00449,2025-01-25,completed,home,33.13,0.0
ORD000161,CUST00446,2024-04-25,completed,beauty,358.97,35.9
ORD000162,CUST00414,2025-02-01,completed,beauty,26.7,1.33
ORD000163,CUST00465,2024-10-03,completed,fashion,410.54,0.0
ORD000164,CUST00129,2024-12-13,completed,sport,58.81,8.82
ORD000165,CUST00026,2024-05-16,completed,fashion,196.19,29.43
ORD000166,CUST00121,2025-03-13,completed,electronics,446.53,44.65
ORD000167,CUST00401,2025-02-18,cancelled,sport,358.16,0.0
ORD000168,CUST00464,2025-03-27,completed,fashion,448.56,0.0
ORD000169,CUST00128,2025-07-16,completed,fashion,349.19,0.0
ORD000170,CUST00159,2025-12-12,completed,sport,100.3,0.0
ORD000171,CUST00227,2025-08-04,completed,home,364.36,18.22
ORD000172,CUST00207,2025-06-27,completed,home,345.78,0.0
ORD000173,CUST00472,2025-01-02,completed,sport,36.58,0.0
ORD000174,CUST00295,2024-09-25,cancelled,sport,319.3,0.0
ORD000175,CUST00060,2025-02-26,completed,electronics,177.02,0.0
ORD000176,CUST00437,2025-07-03,completed,home,312.8,46.92
ORD000177,CUST00233,2026-03-09,completed,beauty,291.53,14.58
ORD000178,CUST00318,2025-10-12,completed,home,329.94,0.0
ORD000179,CUST00451,2025-03-01,refunded,home,394.03,0.0
ORD000180,CUST00343,2025-02-15,refunded,electronics,132.93,6.65
ORD000181,CUST00455,2024-12-16,completed,beauty,163.39,0.0
ORD000182,CUST00048,2024-10-16,completed,beauty,378.47,0.0
ORD000183,CUST00432,2025-08-28,cancelled,sport,185.04,18.5
ORD000184,CUST00186,2024-09-23,cancelled,fashion,151.46,0.0
ORD000185,CUST00398,2025-12-30,completed,beauty,420.05,21.0
ORD000186,CUST00222,2024-10-24,completed,sport,401.91,40.19
ORD000187,CUST00024,2025-02-21,completed,fashion,134.86,0.0
ORD000188,CUST00458,2025-04-20,completed,beauty,201.13,0.0
ORD000189,CUST00220,2025-08-13,completed,electronics,149.73,22.46
ORD000190,CUST00270,2024-12-13,completed,sport,182.44,0.0
ORD000191,CUST00265,2025-02-16,completed,electronics,324.86,32.49
ORD000192,CUST00338,2025-05-27,completed,home,102.33,15.35
ORD000193,CUST00043,2025-02-27,completed,beauty,440.63,0.0
ORD000194,CUST00059,2024-07-04,cancelled,beauty,405.06,0.0
ORD000195,CUST00260,2024-10-02,completed,sport,144.24,7.21
ORD000196,CUST00404,2025-08-21,completed,sport,340.44,0.0
ORD000197,CUST00456,2024-08-12,completed,beauty,180.41,18.04
ORD000198,CUST00286,2024-05-20,cancelled,home,165.62,16.56
ORD000199,CUST00342,2025-07-01,refunded,fashion,420.85,0.0
ORD000200,CUST00062,2024-05-15,completed,beauty,341.81,51.27
ORD000201,CUST00156,2025-01-28,completed,electronics,148.74,0.0
ORD000202,CUST00444,2025-01-23,completed,beauty,222.35,22.23
ORD000203,CUST00054,2025-06-21,completed,sport,163.57,8.18
ORD000204,CUST00293,2025-04-29,completed,home,235.45,0.0
ORD000205,CUST00135,2024-07-12,completed,sport,52.55,0.0
ORD000206,CUST00162,2024-08-03,completed,fashion,48.9,7.33
ORD000207,CUST00149,2024-03-08,completed,fashion,71.27,3.56
ORD000208,CUST00160,2026-03-29,completed,electronics,44.0,2.2
ORD000209,CUST00344,2024-11-07,completed,beauty,376.92,56.54
ORD000210,CUST00129,2025-06-25,cancelled,fashion,147.36,0.0
ORD000211,CUST00126,2025-05-25,completed,electronics,167.05,0.0
ORD000212,CUST00050,2025-02-06,completed,electronics,56.6,2.83
ORD000213,CUST00195,2024-10-27,refunded,fashion,167.56,8.38
ORD000214,CUST00097,2025-11-12,completed,electronics,437.71,0.0
ORD000215,CUST00371,2026-02-28,completed,beauty,131.2,19.68
ORD000216,CUST00260,2024-06-11,completed,sport,17.51,0.0
ORD000217,CUST00192,2024-09-24,completed,home,300.79,0.0
ORD000218,CUST00053,2025-03-05,completed,home,57.91,5.79
ORD000219,CUST00168,2026-02-20,completed,beauty,251.05,0.0
ORD000220,CUST00282,2025-07-03,refunded,beauty,218.14,21.81
ORD000221,CUST00219,2024-07-17,completed,home,240.1,24.01
ORD000222,CUST00124,2024-11-17,completed,home,44.83,4.48
ORD000223,CUST00272,2025-09-01,cancelled,electronics,325.38,0.0
ORD000224,CUST00422,2025-02-08,completed,home,213.22,0.0
ORD000225,CUST00371,2025-11-01,completed,electronics,163.07,0.0
ORD000226,CUST00340,2024-09-12,completed,electronics,16.12,0.0
ORD000227,CUST00346,2025-02-27,completed,beauty,237.56,23.76
ORD000228,CUST00119,2025-03-22,completed,beauty,92.15,13.82
ORD000229,CUST00123,2024-09-11,completed,fashion,213.79,0.0
ORD000230,CUST00401,2025-07-10,completed,electronics,200.62,0.0
ORD000231,CUST00135,2024-08-11,completed,home,297.31,0.0
ORD000232,CUST00300,2025-05-29,completed,home,116.71,0.0
ORD000233,CUST00432,2025-08-28,completed,home,344.56,51.68
ORD000234,CUST00134,2025-01-08,completed,fashion,434.92,0.0
ORD000235,CUST00493,2024-12-07,completed,home,97.58,0.0
ORD000236,CUST00050,2024-11-13,completed,sport,165.82,16.58
ORD000237,CUST00223,2024-07-16,completed,electronics,40.77,2.04
ORD000238,CUST00367,2024-03-17,completed,fashion,285.64,14.28
ORD000239,CUST00240,2025-10-11,cancelled,home,319.79,0.0
ORD000240,CUST00336,2024-11-28,completed,electronics,385.82,0.0
ORD000241,CUST00406,2024-09-28,completed,fashion,386.76,58.01
ORD000242,CUST00223,2024-08-21,completed,fashion,326.98,49.05
ORD000243,CUST00358,2024-09-29,cancelled,beauty,400.07,0.0
ORD000244,CUST00021,2024-05-15,completed,sport,249.91,37.49
ORD000245,CUST00338,2025-02-18,completed,home,241.48,0.0
ORD000246,CUST00436,2025-12-05,completed,sport,282.97,28.3
ORD000247,CUST00164,2026-01-07,completed,sport,396.06,39.61
ORD000248,CUST00086,2025-06-19,completed,beauty,293.82,0.0
ORD000249,CUST00165,2024-04-29,completed,home,285.86,14.29
ORD000250,CUST00204,2025-12-05,completed,sport,85.64,8.56
ORD000251,CUST00344,2024-09-07,refunded,beauty,102.8,0.0
ORD000252,CUST00252,2025-12-28,completed,fashion,351.03,0.0
ORD000253,CUST00042,2024-10-31,completed,fashion,70.51,0.0
ORD000254,CUST00115,2025-06-30,completed,home,356.92,53.54
ORD000255,CUST00092,2025-03-11,completed,home,335.64,0.0
ORD000256,CUST00148,2025-10-27,completed,sport,212.52,21.25
ORD000257,CUST00270,2024-09-22,completed,sport,400.22,0.0
ORD000258,CUST00355,2024-09-19,completed,fashion,176.67,0.0
ORD000259,CUST00019,2025-01-19,cancelled,fashion,423.13,63.47
ORD000260,CUST00478,2025-01-22,completed,beauty,42.87,0.0
ORD000261,CUST00101,2024-07-06,completed,beauty,197.69,0.0
ORD000262,CUST00488,2025-08-25,completed,fashion,293.54,44.03
ORD000263,CUST00498,2025-03-12,completed,home,433.68,21.68
ORD000264,CUST00213,2024-06-19,completed,electronics,35.19,0.0
ORD000265,CUST00411,2024-11-01,completed,fashion,85.62,0.0
ORD000266,CUST00108,2026-01-06,completed,electronics,173.07,0.0
ORD000267,CUST00441,2025-02-21,completed,fashion,112.64,0.0
ORD000268,CUST00285,2025-06-24,cancelled,fashion,57.94,0.0
ORD000269,CUST00210,2025-06-22,completed,fashion,194.42,29.16
ORD000270,CUST00059,2024-10-08,completed,electronics,103.27,5.16
ORD000271,CUST00173,2024-11-16,completed,beauty,69.22,6.92
ORD000272,CUST00251,2025-05-24,cancelled,electronics,229.78,22.98
ORD000273,CUST00393,2024-03-21,completed,electronics,292.91,29.29
ORD000274,CUST00107,2024-08-02,completed,fashion,144.85,0.0
ORD000275,CUST00362,2025-11-08,completed,beauty,169.57,0.0
ORD000276,CUST00313,2025-01-03,completed,sport,327.01,49.05
ORD000277,CUST00362,2025-07-26,completed,beauty,396.23,0.0
ORD000278,CUST00043,2025-09-03,completed,sport,91.55,13.73
ORD000279,CUST00052,2024-07-08,completed,sport,162.27,8.11
ORD000280,CUST00374,2024-09-29,completed,beauty,353.51,53.03
ORD000281,CUST00004,2025-01-12,cancelled,electronics,158.43,0.0
ORD000282,CUST00347,2025-06-13,completed,sport,285.8,28.58
ORD000283,CUST00222,2025-01-08,completed,home,49.06,7.36
ORD000284,CUST00007,2025-12-17,completed,beauty,204.93,20.49
ORD000285,CUST00292,2026-04-02,completed,electronics,109.54,10.95
ORD000286,CUST00292,2025-08-16,cancelled,sport,288.03,0.0
ORD000287,CUST00497,2025-04-14,completed,electronics,66.2,0.0
ORD000288,CUST00307,2024-06-25,completed,home,140.75,0.0
ORD000289,CUST00058,2024-10-16,completed,fashion,157.19,7.86
ORD000290,CUST00461,2025-02-26,completed,beauty,103.9,0.0
ORD000291,CUST00018,2024-04-24,completed,beauty,369.5,36.95
ORD000292,CUST00210,2025-10-04,completed,home,367.04,36.7
ORD000293,CUST00417,2025-07-07,completed,electronics,131.83,0.0
ORD000294,CUST00198,2024-07-17,cancelled,beauty,40.83,6.12
ORD000295,CUST00182,2024-06-18,completed,fashion,282.85,14.14
ORD000296,CUST00403,2026-02-24,cancelled,home,334.32,50.15
ORD000297,CUST00384,2024-12-07,completed,beauty,162.86,8.14
ORD000298,CUST00034,2024-05-02,cancelled,fashion,310.94,46.64
ORD000299,CUST00237,2024-11-19,completed,sport,33.05,4.96
ORD000300,CUST00297,2025-02-02,completed,fashion,280.27,28.03
ORD000301,CUST00170,2025-03-03,completed,fashion,126.3,0.0
ORD000302,CUST00052,2024-05-22,completed,electronics,349.58,0.0
ORD000303,CUST00087,2025-04-04,completed,beauty,434.89,43.49
ORD000304,CUST00024,2025-07-02,completed,sport,436.49,0.0
ORD000305,CUST00459,2025-04-09,completed,electronics,34.36,0.0
ORD000306,CUST00335,2025-05-04,cancelled,sport,328.44,49.27
ORD000307,CUST00300,2025-07-03,completed,electronics,362.21,0.0
ORD000308,CUST00150,2024-05-01,completed,electronics,40.92,0.0
ORD000309,CUST00341,2024-09-09,completed,home,308.41,15.42
ORD000310,CUST00367,2024-05-25,refunded,beauty,314.3,0.0
ORD000311,CUST00131,2024-09-05,cancelled,home,89.72,4.49
ORD000312,CUST00232,2025-02-14,completed,sport,131.12,0.0
ORD000313,CUST00379,2024-11-22,completed,beauty,107.17,16.08
ORD000314,CUST00007,2025-09-10,completed,beauty,26.38,0.0
ORD000315,CUST00145,2025-07-08,completed,beauty,307.62,30.76
ORD000316,CUST00271,2025-08-21,completed,sport,95.8,4.79
ORD000317,CUST00439,2024-09-28,completed,sport,57.59,8.64
ORD000318,CUST00053,2024-12-20,completed,beauty,355.75,17.79
ORD000319,CUST00063,2024-10-22,cancelled,electronics,354.01,35.4
ORD000320,CUST00310,2025-11-06,completed,sport,18.48,0.92
ORD000321,CUST00362,2025-04-28,completed,electronics,308.22,0.0
ORD000322,CUST00426,2024-09-03,completed,fashion,47.54,0.0
ORD000323,CUST00121,2024-09-06,completed,fashion,73.84,0.0
ORD000324,CUST00123,2025-03-14,completed,electronics,15.74,0.79
ORD000325,CUST00158,2025-05-25,completed,sport,223.19,0.0
ORD000326,CUST00236,2025-07-05,completed,beauty,101.27,0.0
ORD000327,CUST00071,2024-08-07,completed,fashion,155.65,0.0
ORD000328,CUST00013,2024-08-25,completed,beauty,392.88,0.0
ORD000329,CUST00295,2024-10-28,completed,fashion,347.12,0.0
ORD000330,CUST00474,2025-10-05,completed,sport,58.67,0.0
ORD000331,CUST00213,2025-01-09,completed,home,141.45,14.14
ORD000332,CUST00081,2024-09-28,completed,home,203.08,0.0
ORD000333,CUST00155,2024-09-17,completed,electronics,398.02,39.8
ORD000334,CUST00106,2024-08-24,completed,home,66.11,0.0
ORD000335,CUST00421,2024-12-04,completed,beauty,100.25,15.04
ORD000336,CUST00222,2025-01-02,completed,fashion,189.41,9.47
ORD000337,CUST00169,2025-05-27,completed,fashion,146.14,0.0
ORD000338,CUST00264,2024-06-19,completed,fashion,398.39,59.76
ORD000339,CUST00426,2024-08-30,completed,sport,154.63,0.0
ORD000340,CUST00229,2024-11-30,completed,beauty,324.73,32.47
ORD000341,CUST00182,2024-12-16,completed,fashion,254.15,38.12
ORD000342,CUST00178,2024-09-26,completed,beauty,279.23,0.0
ORD000343,CUST00151,2024-10-09,refunded,fashion,140.46,0.0
ORD000344,CUST00476,2024-05-23,completed,home,32.8,0.0
ORD000345,CUST00236,2025-12-17,completed,home,399.33,19.97
ORD000346,CUST00008,2025-02-28,completed,electronics,76.66,11.5
ORD000347,CUST00491,2025-06-19,completed,electronics,263.44,0.0
ORD000348,CUST00444,2024-06-14,completed,beauty,69.54,6.95
ORD000349,CUST00103,2025-11-18,cancelled,electronics,87.7,0.0
ORD000350,CUST00096,2024-08-22,cancelled,home,128.75,0.0
ORD000351,CUST00104,2024-11-11,completed,sport,236.71,11.84
ORD000352,CUST00490,2024-08-25,completed,fashion,148.01,7.4
ORD000353,CUST00198,2025-02-25,completed,electronics,323.53,0.0
ORD000354,CUST00354,2025-10-17,completed,sport,72.68,7.27
ORD000355,CUST00378,2026-01-25,cancelled,electronics,368.13,18.41
ORD000356,CUST00088,2025-10-25,completed,sport,225.52,22.55
ORD000357,CUST00198,2024-06-01,completed,electronics,277.27,27.73
ORD000358,CUST00439,2025-04-02,completed,home,149.06,7.45
ORD000359,CUST00217,2025-03-24,refunded,sport,336.47,0.0
ORD000360,CUST00145,2025-12-12,cancelled,beauty,438.99,0.0
ORD000361,CUST00015,2025-09-11,completed,sport,95.01,0.0
ORD000362,CUST00235,2025-01-01,completed,electronics,190.73,0.0
ORD000363,CUST00386,2024-11-08,completed,home,180.46,0.0
ORD000364,CUST00315,2024-11-29,completed,home,97.65,14.65
ORD000365,CUST00489,2025-12-28,completed,sport,35.0,3.5
ORD000366,CUST00172,2024-05-11,completed,fashion,21.5,0.0
ORD000367,CUST00147,2024-10-26,completed,electronics,370.89,55.63
ORD000368,CUST00041,2025-06-11,completed,fashion,218.91,0.0
ORD000369,CUST00463,2025-06-04,cancelled,sport,287.02,0.0
ORD000370,CUST00427,2025-06-22,completed,fashion,372.05,55.81
ORD000371,CUST00304,2025-09-23,completed,fashion,429.31,21.47
ORD000372,CUST00076,2025-06-24,completed,sport,104.02,0.0
ORD000373,CUST00077,2025-07-19,completed,home,250.31,37.55
ORD000374,CUST00035,2024-04-19,completed,sport,431.43,64.71
ORD000375,CUST00299,2025-01-21,completed,sport,219.27,0.0
ORD000376,CUST00422,2024-11-30,completed,beauty,205.97,10.3
ORD000377,CUST00225,2025-01-30,completed,sport,121.95,0.0
ORD000378,CUST00366,2025-11-19,completed,beauty,273.02,13.65
ORD000379,CUST00169,2025-06-07,completed,beauty,313.54,31.35
ORD000380,CUST00174,2024-10-12,completed,fashion,25.28,1.26
ORD000381,CUST00420,2024-09-14,completed,sport,43.09,6.46
ORD000382,CUST00326,2025-06-10,completed,sport,282.27,0.0
ORD000383,CUST00259,2024-10-04,completed,sport,90.33,9.03
ORD000384,CUST00041,2025-04-10,completed,home,345.25,34.52
ORD000385,CUST00122,2025-02-04,completed,sport,449.86,0.0
ORD000386,CUST00362,2026-01-27,completed,beauty,445.61,66.84
ORD000387,CUST00303,2025-10-15,completed,home,99.83,14.97
ORD000388,CUST00001,2025-04-05,completed,electronics,136.61,0.0
ORD000389,CUST00445,2025-09-26,completed,beauty,383.4,0.0
ORD000390,CUST00050,2025-06-04,completed,electronics,257.93,38.69
ORD000391,CUST00073,2025-08-23,completed,electronics,428.94,0.0
ORD000392,CUST00408,2024-08-13,completed,beauty,179.33,0.0
ORD000393,CUST00415,2024-06-24,completed,sport,40.32,6.05
ORD000394,CUST00393,2024-07-28,refunded,beauty,64.88,9.73
ORD000395,CUST00120,2024-10-30,completed,electronics,60.14,3.01
ORD000396,CUST00461,2024-12-20,completed,electronics,304.16,0.0
ORD000397,CUST00125,2025-06-18,completed,home,84.05,4.2
ORD000398,CUST00308,2025-04-27,completed,sport,156.94,0.0
ORD000399,CUST00108,2025-12-08,completed,home,364.08,0.0
ORD000400,CUST00253,2025-02-02,completed,home,362.54,18.13
ORD000401,CUST00404,2025-10-04,completed,home,193.59,19.36
ORD000402,CUST00413,2025-04-21,completed,sport,97.68,14.65
ORD000403,CUST00031,2024-04-30,completed,electronics,401.0,40.1
ORD000404,CUST00482,2025-08-17,completed,home,388.71,58.31
ORD000405,CUST00351,2024-04-09,completed,electronics,254.65,25.47
ORD000406,CUST00469,2025-01-18,completed,beauty,38.13,0.0
ORD000407,CUST00024,2025-02-02,completed,home,339.31,0.0
ORD000408,CUST00325,2025-02-28,refunded,sport,236.58,23.66
ORD000409,CUST00008,2025-02-23,completed,electronics,433.4,43.34
ORD000410,CUST00435,2024-11-19,completed,electronics,161.42,0.0
ORD000411,CUST00205,2025-11-24,completed,beauty,186.92,0.0
ORD000412,CUST00049,2024-07-31,completed,sport,93.33,9.33
ORD000413,CUST00285,2025-05-14,cancelled,beauty,237.97,35.7
ORD000414,CUST00491,2025-04-28,completed,sport,386.39,0.0
