order_id,customer_id,order_date,order_status,currency_code,payment_method,shipping_country_code,subtotal_amount,shipping_amount,tax_amount,discount_amount,total_amount
O0028,C0029,2023-02-27 15:41:00,completed,US$,paypal,US,85.00,5.99,7.01,5.00,93.00
O0029,C0030,2023-02-28 09:12:00,completed,GBP,card,GB,116.00,7.50,0.00,8.00,115.50
O0030,C0031,2023-03-01 13:14:00,completed,USD,card,US,24.00,4.99,1.98,0.00,30.97
O0031,C0032,2023-03-02 16:26:00,completed,USD,card,US,67.00,5.99,5.53,0.00,78.52
O0032,C0033,2023-03-03 10:03:00,completed,USD,paypal,US,47.00,5.99,3.88,0.00,56.87
O0033,C0034,2023-03-04 11:17:00,completed,USD,card,US,90.00,6.99,7.43,0.00,104.42
O0034,C0035,2023-03-05 14:31:00,completed,USD,card,US,172.00,0.00,14.19,18.00,168.19
O0035,C0036,2023-03-06 17:02:00,completed,EUR,paypal,ES,99.00,7.50,0.00,0.00,106.50
O0036,C0037,2023-03-07 08:25:00,pending,USD,card,US,35.00,4.99,2.89,0.00,42.88
O0037,C0038,2023-03-08 12:48:00,completed,USD,card,US,81.00,5.99,6.68,4.00,89.67
O0038,C0039,2023-03-09 15:36:00,completed,MXN,card,MX,510.00,85.00,0.00,25.00,570.00
O0039,C0040,2023-03-10 09:57:00,cancelled,USD,paypal,US,22.00,4.99,1.82,0.00,28.81
O0040,C0041,2023-03-11 13:22:00,completed,USD,card,US,58.00,5.99,4.79,0.00,68.78
O0041,C0042,2023-03-12 16:45:00,completed,USD,card,US,39.00,4.99,3.22,0.00,47.21
O0042,C0043,2023-03-13 10:29:00,completed,USD,apple_pay,US,74.00,6.99,6.11,6.00,81.10
O0043,C0044,2023-03-14 11:55:00,completed,USD,card,US,164.00,0.00,13.53,16.00,161.53
O0044,C0045,2023-03-15 14:12:00,completed,USD,card,US,29.00,4.99,2.39,0.00,36.38
O0045,C0046,2023-03-16 17:27:00,returned,USD,paypal,US,62.00,5.99,5.12,0.00,73.11
O0046,C0047,2023-03-17 08:49:00,completed,GBP,card,GB,143.00,7.50,0.00,10.00,140.50
O0047,C0048,2023-03-18 12:13:00,completed,USD,card,US,88.00,6.99,7.26,0.00,102.25
O0048,C0049,2023-03-19 15:58:00,pending,USD,google_pay,US,26.00,4.99,2.15,0.00,33.14
O0049,C0050,2023-03-20 09:41:00,completed,EUR,card,ES,132.00,8.50,0.00,12.00,128.50
O0050,C0051,2023-03-21 13:06:00,completed,USD,card,US,71.00,5.99,5.86,0.00,82.85
O0051,C0052,2023-03-22 16:18:00,completed,USD,paypal,US,36.00,4.99,2.97,0.00,43.96
O0052,C0053,2023-03-23 10:52:00,completed,USD,card,US,93.00,6.99,7.67,0.00,107.66
O0053,C0054,2023-03-24 11:39:00,completed,MXN,card,MX,580.00,95.00,0.00,30.00,645.00
O0054,C0055,2023-03-25 14:25:00,cancelled,USD,card,US,25.00,4.99,2.06,0.00,32.05
O0055,C0056,2023-03-26 17:44:00,completed,USD,apple_pay,US,64.00,5.99,5.28,0.00,75.27
O0056,C0057,2023-03-27 08:16:00,completed,USD,card,US,118.00,0.00,9.74,8.00,119.74
O0057,C0058,2023-03-28 12:31:00,completed,USD,paypal,US,41.00,5.99,3.38,0.00,50.37
O0058,C0059,2023-03-29 15:04:00,pending,USD,card,US,56.00,5.99,4.62,0.00,66.61
O0059,C0060,2023-03-30 09:19:00,completed,EUR,card,FR,151.00,7.50,0.00,15.00,143.50
O0060,C0061,2023-03-31 13:47:00,completed,USD,card,US,33.00,4.99,2.72,0.00,40.71
O0061,C0062,2023-04-01 16:21:00,completed,USD,paypal,US,79.00,5.99,6.52,0.00,91.51
O0062,C0063,2023-04-02 10:08:00,completed,USD,card,US,45.00,5.99,3.71,0.00,54.70
O0063,C0064,2023-04-03 11:56:00,completed,USD,card,US,87.00,6.99,7.18,4.00,97.17
O0064,C0065,2023-04-04 14:39:00,completed,USD,bank_transfer,US,169.00,0.00,13.94,15.00,167.94
O0065,C0066,2023-04-05 17:03:00,completed,eur,card,ES,97.00,7.50,0.00,0.00,104.50
O0066,C0067,2023-04-06 08:42:00,returned,USD,paypal,US,28.00,4.99,2.31,0.00,35.30
O0067,C0068,2023-04-07 12:17:00,completed,USD,card,US,61.00,5.99,5.03,0.00,72.02
O0068,C0069,2023-04-08 15:29:00,completed,USD,card,US,146.00,0.00,12.05,10.00,148.05
O0069,C0070,2023-04-09 09:53:00,pending,USD,google_pay,US,30.00,4.99,2.48,0.00,37.47
O0070,C0071,2023-04-10 13:16:00,completed,GBP,card,GB,84.00,6.50,0.00,0.00,90.50
O0071,C0072,2023-04-11 16:40:00,completed,USD,paypal,US,136.00,0.00,11.22,8.00,139.22
O0072,C0073,2023-04-12 10:24:00,completed,USD,card,US,37.00,4.99,3.05,0.00,45.04
O0073,C0074,2023-04-13 11:42:00,completed,USD,card,US,69.00,5.99,5.69,0.00,80.68
O0074,C0075,2023-04-14 14:58:00,completed,MXN,card,MX,455.00,80.00,0.00,22.00,513.00
O0075,C0076,2023-04-15 17:14:00,cancelled,USD,paypal,US,23.00,4.99,1.90,0.00,29.89
O0076,C0077,2023-04-16 08:37:00,completed,USD,card,US,59.00,5.99,4.87,0.00,69.86
O0077,C0078,2023-04-17 12:09:00,completed,USD,apple_pay,US,127.00,0.00,10.48,12.00,125.48
O0078,C0079,2023-04-18 15:55:00,pending,USD,card,US,40.00,5.99,3.30,0.00,49.29
O0079,C0080,2023-04-19 09:34:00,completed,USD,paypal,US,82.00,5.99,6.77,5.00,89.76
O0080,C0081,2023-04-20 13:20:00,completed,USD,card,US,34.00,4.99,2.81,0.00,41.80
O0081,C0082,2023-04-21 16:47:00,completed,EUR,card,ES,92.00,7.50,0.00,0.00,99.50
O0082,C0083,2023-04-22 10:13:00,completed,USD,card,US,158.00,0.00,13.04,14.00,157.04
O0083,C0084,2023-04-23 11:28:00,completed,USD,paypal,US,43.00,5.99,3.55,0.00,52.54
O0084,C0085,2023-04-24 14:45:00,returned,USD,card,US,76.00,6.99,6.27,0.00,89.26
O0085,C0086,2023-04-25 17:11:00,completed,USD,card,US,141.00,0.00,11.63,10.00,142.63
O0086,C0087,2023-04-26 08:23:00,completed,USD,google_pay,US,65.00,5.99,5.36,0.00,76.35
O0087,C0088,2023-04-27 12:36:00,completed,MXN,card,MX,390.00,70.00,0.00,15.00,445.00
O0088,C0089,2023-04-28 15:18:00,pending,USD,paypal,US,48.00,5.99,3.96,0.00,57.95
O0089,C0090,2023-04-29 09:45:00,completed,USD,card,US,114.00,0.00,9.41,6.00,117.41
O0090,C0091,2023-04-30 13:11:00,cancelled,USD,card,US,27.00,4.99,2.23,0.00,34.22
O0091,C0092,2023-05-01 16:34:00,completed,USD,paypal,US,62.00,5.99,5.12,0.00,73.11
O0092,C0093,2023-05-02 10:07:00,completed,USD,card,US,153.00,0.00,12.62,15.00,150.62
O0093,C0094,2023-05-03 11:52:00,completed,GBP,card,GB,86.00,6.50,0.00,0.00,92.50
O0094,C0095,2023-05-04 14:17:00,completed,USD,apple_pay,US,55.00,5.99,4.54,0.00,65.53
O0095,C0096,2023-05-05 17:39:00,completed,USD,card,US,166.00,0.00,13.70,18.00,161.70
O0096,C0097,2023-05-06 08:51:00,pending,USD,paypal,US,31.00,4.99,2.56,0.00,38.55
O0097,C0098,2023-05-07 12:28:00,completed,EUR,card,ES,95.00,7.50,0.00,0.00,102.50
O0098,C0099,2023-05-08 15:43:00,completed,USD,card,US,121.00,0.00,9.98,10.00,120.98
O0099,C0100,2023-05-09 09:16:00,completed,USD,paypal,US,29.00,4.99,2.39,0.00,36.38
O0100,C0101,2023-05-10 13:37:00,completed,USD,card,US,88.00,6.99,7.26,0.00,102.25
O0101,C0102,2023-05-11 16:59:00,completed,,card,US,24.00,4.99,1.98,0.00,30.97
O0102,C0103,2023-05-12 10:22:00,completed,USD,paypal,US,137.00,0.00,11.30,8.00,140.30
O0103,C0104,2023-05-13 11:41:00,completed,MXN,card,MX,440.00,80.00,0.00,20.00,500.00
O0104,C0105,2023-05-14 14:06:00,completed,USD,card,US,42.00,5.99,3.47,0.00,51.46
O0105,C0106,2023-05-15 17:25:00,returned,USD,paypal,US,79.00,5.99,6.52,0.00,91.51
O0106,C0107,2023-05-16 08:44:00,completed,GBP,card,GB,68.00,6.50,0.00,0.00,74.50
O0107,C0108,2023-05-17 12:15:00,completed,USD,card,US,57.00,5.99,4.70,0.00,67.69
O0108,C0109,2023-05-18 15:31:00,completed,EUR,bank_transfer,ES,148.00,8.50,0.00,10.00,146.50
O0109,C0110,2023-05-19 09:49:00,pending,USD,paypal,US,63.00,5.99,5.20,0.00,74.19
O0110,C0111,2023-05-20 13:04:00,completed,USD,card,US,26.00,4.99,2.15,0.00,33.14
O0111,C0112,2023-05-21 16:46:00,completed,USD,card,US,110.00,0.00,9.08,10.00,109.08
O0112,C0113,2023-05-22 10:10:00,completed,USD,paypal,US,46.00,5.99,3.80,0.00,55.79
O0113,C0114,2023-05-23 11:29:00,completed,EUR,card,ES,83.00,7.50,0.00,0.00,90.50
O0114,C0115,2023-05-24 14:53:00,cancelled,USD,card,US,35.00,4.99,2.89,0.00,42.88
O0115,C0116,2023-05-25 17:20:00,completed,USD,apple_pay,US,126.00,0.00,10.40,12.00,124.40
O0116,C0117,2023-05-26 08:39:00,completed,USD,paypal,US,41.00,5.99,3.38,0.00,50.37
O0117,C0118,2023-05-27 12:56:00,pending,USD,card,US,58.00,5.99,4.79,0.00,68.78
O0118,C0119,2023-05-28 15:15:00,completed,USD,card,US,162.00,0.00,13.37,15.00,160.37
O0119,C0120,2023-05-29 09:27:00,completed,EUR,card,FR,104.00,7.50,0.00,6.00,105.50
O0120,C0001,2023-05-30 13:44:00,completed,USD,paypal,US,53.00,5.99,4.37,0.00,63.36
O0121,C0002,2023-06-01 16:08:00,completed,USD,card,US,81.00,5.99,6.68,0.00,93.67
O0122,C0003,2023-06-02 10:35:00,completed,GBP,card,GB,72.00,6.50,0.00,0.00,78.50
O0123,C0004,2023-06-03 11:57:00,completed,USD,paypal,US,119.00,0.00,9.82,8.00,120.82
O0124,C0005,2023-06-04 14:26:00,returned,USD,card,US,28.00,4.99,2.31,0.00,35.30
O0125,C0006,2023-06-05 17:47:00,completed,EUR,card,ES,139.00,8.50,0.00,10.00,137.50
O0126,C0007,2023-06-06 08:12:00,completed,USD,apple_pay,US,47.00,5.99,3.88,0.00,56.87
O0127,C0008,2023-06-07 12:41:00,pending,USD,paypal,US,64.00,5.99,5.28,0.00,75.27
O0128,C0009,2023-06-08 15:09:00,completed,MXN,card,MX,530.00,88.00,0.00,25.00,593.00
O0129,C0010,2023-06-09 09:38:00,completed,USD,card,US,33.00,4.99,2.72,0.00,40.71
O0130,C0011,2023-06-10 13:18:00,completed,USD,paypal,US,76.00,6.99,6.27,0.00,89.26
O0131,C0012,2023-06-11 16:55:00,completed,EUR,card,ES,157.00,8.50,0.00,12.00,153.50
O0132,C0013,2023-06-12 10:21:00,completed,USD,card,US,61.00,5.99,5.03,0.00,72.02
O0133,C0014,2023-06-13 11:47:00,cancelled,USD,paypal,US,25.00,4.99,2.06,0.00,32.05
O0134,C0015,2023-06-14 14:59:00,completed,USD,card,US,144.00,0.00,11.88,14.00,141.88
O0135,C0016,2023-06-15 17:13:00,completed,usd,card,US,52.00,5.99,4.29,0.00,62.28
O0136,C0017,2023-06-16 08:33:00,pending,USD,paypal,US,39.00,4.99,3.22,0.00,47.21
O0137,C0018,2023-06-17 12:24:00,completed,USD,card,US,92.00,6.99,7.59,5.00,101.58
O0138,C0019,2023-06-18 15:49:00,completed,EUR,card,FR,87.00,7.50,0.00,0.00,94.50
O0139,C0020,2023-06-19 09:11:00,completed,USD,bank_transfer,US,123.00,0.00,10.15,8.00,125.15
O0140,C0021,2023-06-20 13:32:00,completed,USD,card,US,43.00,5.99,3.55,0.00,52.54
O0141,C0022,2023-06-21 16:51:00,returned,USD,paypal,US,67.00,5.99,5.53,0.00,78.52
O0142,C0023,2023-06-22 10:16:00,completed,USD,card,US,98.00,6.99,8.09,4.00,109.08
O0143,C0024,2023-06-23 11:37:00,completed,USD,card,US,171.00,0.00,14.11,18.00,167.11
O0144,C0025,2023-06-24 14:07:00,completed,MXN,card,MX,405.00,74.00,0.00,18.00,461.00
O0145,C0026,2023-06-25 17:26:00,pending,USD,paypal,US,36.00,4.99,2.97,0.00,43.96
O0146,C0027,2023-06-26 08:46:00,completed,USD,apple_pay,US,151.00,0.00,12.46,10.00,153.46
O0147,C0028,2023-06-27 12:11:00,completed,USD,card,US,29.00,4.99,2.39,0.00,36.38
O0148,C0029,2023-06-28 15:34:00,completed,US$,paypal,US,84.00,5.99,6.93,0.00,96.92
O0149,C0030,2023-06-29 09:58:00,completed,GBP,card,GB,129.00,7.50,0.00,10.00,126.50
O0150,C0031,2023-06-30 13:21:00,cancelled,USD,card,US,23.00,4.99,1.90,0.00,29.89
O0151,C0032,2023-07-01 16:42:00,completed,USD,paypal,US,57.00,5.99,4.70,0.00,67.69
O0152,C0033,2023-07-02 10:04:00,completed,USD,card,US,48.00,5.99,3.96,0.00,57.95
O0153,C0034,2023-07-03 11:26:00,completed,USD,card,US,101.00,6.99,8.33,6.00,110.32
O0154,C0035,2023-07-04 14:48:00,completed,USD,card,US,163.00,0.00,13.45,15.00,161.45
O0155,C0036,2023-07-05 17:16:00,completed,EUR,paypal,ES,94.00,7.50,0.00,0.00,101.50
O0156,C0037,2023-07-06 08:29:00,pending,USD,card,US,31.00,4.99,2.56,0.00,38.55
O0157,C0038,2023-07-07 12:52:00,completed,USD,card,US,86.00,6.99,7.10,4.00,96.09
O0158,C0039,2023-07-08 15:40:00,completed,MXN,card,MX,560.00,92.00,0.00,28.00,624.00
O0159,C0040,2023-07-09 09:17:00,completed,USD,paypal,US,24.00,4.99,1.98,0.00,30.97
O0160,C0041,2023-07-10 13:35:00,completed,USD,card,US,63.00,5.99,5.20,0.00,74.19
O0161,C0042,2023-07-11 16:58:00,completed,USD,card,US,44.00,5.99,3.63,0.00,53.62
O0162,C0043,2023-07-12 10:23:00,returned,USD,paypal,US,78.00,6.99,6.44,0.00,91.43
O0163,C0044,2023-07-13 11:44:00,completed,USD,card,US,168.00,0.00,13.86,16.00,165.86
O0164,C0045,2023-07-14 14:13:00,completed,USD,card,US,35.00,4.99,2.89,0.00,42.88
O0165,C0046,2023-07-15 17:33:00,completed,USD,paypal,US,66.00,5.99,5.45,0.00,77.44
O0166,C0047,2023-07-16 08:54:00,completed,GBP,card,GB,147.00,7.50,0.00,12.00,142.50
O0167,C0048,2023-07-17 12:19:00,pending,USD,card,US,54.00,5.99,4.46,0.00,64.45
O0168,C0049,2023-07-18 15:46:00,completed,USD,google_pay,US,27.00,4.99,2.23,0.00,34.22
O0169,C0050,2023-07-19 09:06:00,completed,EUR,card,ES,134.00,8.50,0.00,10.00,132.50
O0170,C0051,2023-07-20 13:29:00,completed,USD,paypal,US,72.00,5.99,5.94,0.00,83.93
O0171,C0052,2023-07-21 16:43:00,cancelled,USD,card,US,26.00,4.99,2.15,0.00,33.14
O0172,C0053,2023-07-22 10:18:00,completed,USD,card,US,97.00,6.99,8.00,4.00,107.99
O0173,C0054,2023-07-23 11:51:00,completed,MXN,card,MX,600.00,96.00,0.00,35.00,661.00
O0174,C0055,2023-07-24 14:22:00,completed,USD,paypal,US,32.00,4.99,2.64,0.00,39.63
O0175,C0056,2023-07-25 17:52:00,completed,USD,apple_pay,US,69.00,5.99,5.69,0.00,80.68
O0176,C0057,2023-07-26 08:14:00,completed,USD,card,US,124.00,0.00,10.23,8.00,126.23
O0177,C0058,2023-07-27 12:38:00,pending,USD,paypal,US,38.00,4.99,3.14,0.00,46.13
O0178,C0059,2023-07-28 15:02:00,completed,USD,card,US,59.00,5.99,4.87,0.00,69.86
O0179,C0060,2023-07-29 09:30:00,completed,EUR,card,FR,149.00,7.50,0.00,12.00,144.50
O0180,C0061,2023-07-30 13:48:00,completed,USD,card,US,34.00,4.99,2.81,0.00,41.80
O0181,C0062,2023-07-31 16:12:00,completed,USD,paypal,US,83.00,5.99,6.85,0.00,95.84
O0182,C0063,2023-08-01 10:27:00,returned,USD,card,US,45.00,5.99,3.71,0.00,54.70
O0183,C0064,2023-08-02 11:53:00,completed,USD,card,US,89.00,6.99,7.34,0.00,103.33
O0184,C0065,2023-08-03 14:41:00,completed,USD,bank_transfer,US,173.00,0.00,14.27,18.00,169.27
O0185,C0066,2023-08-04 17:19:00,completed,EUR,card,ES,96.00,7.50,0.00,0.00,103.50
O0186,C0067,2023-08-05 08:31:00,pending,USD,paypal,US,28.00,4.99,2.31,0.00,35.30
O0187,C0068,2023-08-06 12:58:00,completed,USD,card,US,64.00,5.99,5.28,0.00,75.27
O0188,C0069,2023-08-07 15:21:00,completed,USD,card,US,154.00,0.00,12.71,10.00,156.71
O0189,C0070,2023-08-08 09:43:00,completed,usd,google_pay,US,30.00,4.99,2.48,0.00,37.47
O0190,C0071,2023-08-09 13:15:00,completed,GBP,card,GB,79.00,6.50,0.00,0.00,85.50
O0191,C0072,2023-08-10 16:32:00,cancelled,USD,paypal,US,132.00,0.00,10.89,10.00,132.89
O0192,C0073,2023-08-11 10:06:00,completed,USD,card,US,37.00,4.99,3.05,0.00,45.04
O0193,C0074,2023-08-12 11:24:00,completed,USD,card,US,71.00,5.99,5.86,0.00,82.85
O0194,C0075,2023-08-13 14:57:00,completed,MXN,card,MX,470.00,82.00,0.00,20.00,532.00
O0195,C0076,2023-08-14 17:08:00,completed,USD,paypal,US,25.00,4.99,2.06,0.00,32.05
O0196,C0077,2023-08-15 08:47:00,completed,USD,card,US,61.00,5.99,5.03,0.00,72.02
O0197,C0078,2023-08-16 12:16:00,completed,USD,apple_pay,US,129.00,0.00,10.64,12.00,127.64
O0198,C0079,2023-08-17 15:38:00,pending,USD,card,US,39.00,5.99,3.22,0.00,48.21
O0199,C0080,2023-08-18 09:55:00,completed,USD,paypal,US,81.00,5.99,6.68,5.00,88.67
O0200,C0081,2023-08-19 13:10:00,completed,USD,card,US,33.00,4.99,2.72,0.00,40.71
O0201,C0082,2023-08-20 16:29:00,completed,EUR,card,ES,91.00,7.50,0.00,0.00,98.50
O0202,C0083,2023-08-21 10:14:00,returned,USD,card,US,159.00,0.00,13.12,15.00,157.12
O0203,C0084,2023-08-22 11:36:00,completed,USD,paypal,US,43.00,5.99,3.55,0.00,52.54
O0204,C0085,2023-08-23 14:05:00,completed,USD,card,US,77.00,6.99,6.35,0.00,90.34
O0205,C0086,2023-08-24 17:28:00,completed,USD,card,US,143.00,0.00,11.80,10.00,144.80
O0206,C0087,2023-08-25 08:50:00,completed,USD,google_pay,US,65.00,5.99,5.36,0.00,76.35
O0207,C0088,2023-08-26 12:22:00,pending,MXN,card,MX,395.00,72.00,0.00,15.00,452.00
O0208,C0089,2023-08-27 15:50:00,completed,USD,paypal,US,47.00,5.99,3.88,0.00,56.87
O0209,C0090,2023-08-28 09:18:00,completed,USD,card,US,115.00,0.00,9.49,6.00,118.49
O0210,C0091,2023-08-29 13:39:00,cancelled,USD,card,US,28.00,4.99,2.31,0.00,35.30
O0211,C0092,2023-08-30 16:57:00,completed,USD,paypal,US,62.00,5.99,5.12,0.00,73.11
O0212,C0093,2023-08-31 10:20:00,completed,USD,card,US,152.00,0.00,12.54,12.00,152.54
O0213,C0094,2023-09-01 11:45:00,completed,GBP,card,GB,87.00,6.50,0.00,0.00,93.50
O0214,C0095,2023-09-02 14:11:00,completed,USD,apple_pay,US,54.00,5.99,4.46,0.00,64.45
O0215,C0096,2023-09-03 17:34:00,completed,USD,card,US,164.00,0.00,13.53,16.00,161.53
O0216,C0097,2023-09-04 08:53:00,pending,USD,paypal,US,30.00,4.99,2.48,0.00,37.47
O0217,C0098,2023-09-05 12:27:00,completed,EUR,card,ES,94.00,7.50,0.00,0.00,101.50
O0218,C0099,2023-09-06 15:12:00,completed,USD,card,US,122.00,0.00,10.07,10.00,122.07
O0219,C0100,2023-09-07 09:40:00,completed,USD,paypal,US,29.00,4.99,2.39,0.00,36.38
O0220,C0101,2023-09-08 13:05:00,completed,USD,card,US,89.00,6.99,7.34,0.00,103.33
O0221,C0102,2023-09-09 16:24:00,completed,,card,US,26.00,4.99,2.15,0.00,33.14
O0222,C0103,2023-09-10 10:09:00,returned,USD,paypal,US,138.00,0.00,11.39,10.00,139.39
O0223,C0104,2023-09-11 11:31:00,completed,MXN,card,MX,445.00,81.00,0.00,20.00,506.00
O0224,C0105,2023-09-12 14:56:00,completed,USD,card,US,42.00,5.99,3.47,0.00,51.46
O0225,C0106,2023-09-13 17:17:00,completed,USD,paypal,US,78.00,6.99,6.44,0.00,91.43
O0226,C0107,2023-09-14 08:36:00,completed,GBP,card,GB,69.00,6.50,0.00,0.00,75.50
O0227,C0108,2023-09-15 12:54:00,pending,USD,card,US,56.00,5.99,4.62,0.00,66.61
O0228,C0109,2023-09-16 15:23:00,completed,EUR,bank_transfer,ES,149.00,8.50,0.00,10.00,147.50
O0229,C0110,2023-09-17 09:50:00,completed,USD,paypal,US,64.00,5.99,5.28,0.00,75.27
O0230,C0111,2023-09-18 13:13:00,cancelled,USD,card,US,27.00,4.99,2.23,0.00,34.22
O0231,C0112,2023-09-19 16:44:00,completed,USD,card,US,111.00,0.00,9.16,10.00,110.16
O0232,C0113,2023-09-20 10:01:00,completed,USD,paypal,US,45.00,5.99,3.71,0.00,54.70
O0233,C0114,2023-09-21 11:49:00,completed,EUR,card,ES,84.00,7.50,0.00,0.00,91.50
O0234,C0115,2023-09-22 14:15:00,completed,USD,card,US,36.00,4.99,2.97,0.00,43.96
O0235,C0116,2023-09-23 17:41:00,completed,USD,apple_pay,US,127.00,0.00,10.48,12.00,125.48
O0236,C0117,2023-09-24 08:21:00,completed,USD,paypal,US,40.00,5.99,3.30,0.00,49.29
O0237,C0118,2023-09-25 12:44:00,returned,USD,card,US,57.00,5.99,4.70,0.00,67.69
O0238,C0119,2023-09-26 15:06:00,completed,USD,card,US,163.00,0.00,13.45,15.00,161.45
O0239,C0120,2023-09-27 09:24:00,completed,EUR,card,FR,105.00,7.50,0.00,6.00,106.50
O0240,C0001,2023-09-28 13:42:00,pending,USD,paypal,US,52.00,5.99,4.29,0.00,62.28
